"","category","over_represented_pvalue","under_represented_pvalue","numDEInCat","numInCat","term","ontology"
"624","GO:0002376",9.01406197320982e-26,1,1235,2971,"immune system process","BP"
"534","GO:0002250",4.04862219501885e-25,1,359,753,"adaptive immune response","BP"
"1812","GO:0006955",1.4332179487592e-23,1,909,2165,"immune response","BP"
"7658","GO:0048518",2.23327092994769e-18,1,2458,6196,"positive regulation of biological process","BP"
"2221","GO:0009057",3.62375584961706e-17,1,693,1536,"macromolecule catabolic process","BP"
"860","GO:0002757",4.71673500044427e-16,1,286,559,"immune response-activating signaling pathway","BP"
"6404","GO:0043170",1.34112001714755e-15,1,3293,8684,"macromolecule metabolic process","BP"
"804","GO:0002684",1.4539202448659e-15,1,527,1164,"positive regulation of immune system process","BP"
"6836","GO:0045321",1.55903093942106e-15,1,465,1002,"leukocyte activation","BP"
"276","GO:0001775",2.23043102466184e-15,1,527,1156,"cell activation","BP"
"7662","GO:0048522",2.29793470048824e-15,1,2293,5804,"positive regulation of cellular process","BP"
"537","GO:0002253",2.36029157757881e-15,1,309,622,"activation of immune response","BP"
"2136","GO:0008152",2.4839019712999e-15,1,3978,10724,"metabolic process","BP"
"3639","GO:0019724",2.82085616312755e-15,1,111,193,"B cell mediated immunity","BP"
"7389","GO:0046649",5.1748210747311e-15,1,396,834,"lymphocyte activation","BP"
"3259","GO:0016064",6.19163675501469e-15,1,109,190,"immunoglobulin mediated immune response","BP"
"678","GO:0002460",1.04295760070445e-14,1,198,385,"adaptive immune response based on somatic recombination of immune receptors built from immunoglobulin superfamily domains","BP"
"5807","GO:0036211",1.74505281078342e-14,1,910,2119,"protein modification process","BP"
"7690","GO:0048583",1.75410400941518e-14,1,1661,4110,"regulation of response to stimulus","BP"
"6643","GO:0044238",2.20793468845665e-14,1,3553,9495,"primary metabolic process","BP"
"3603","GO:0019538",2.42039609016545e-14,1,1647,4164,"protein metabolic process","BP"
"867","GO:0002764",3.06666581809367e-14,1,303,616,"immune response-regulating signaling pathway","BP"
"6502","GO:0043412",1.03469834715826e-13,1,970,2300,"macromolecule modification","BP"
"10222","GO:0071840",1.45589147839204e-13,1,2643,6803,"cellular component organization or biogenesis","BP"
"2529","GO:0009966",1.63057717922914e-13,1,1290,3109,"regulation of signal transduction","BP"
"4046","GO:0030163",1.68854653432569e-13,1,513,1133,"protein catabolic process","BP"
"7663","GO:0048523",1.97007061991531e-13,1,2053,5185,"negative regulation of cellular process","BP"
"5546","GO:0035556",4.57941256102434e-13,1,1277,3085,"intracellular signal transduction","BP"
"7917","GO:0050778",5.91514710702034e-13,1,379,822,"positive regulation of immune response","BP"
"3247","GO:0016043",7.76401413823731e-13,1,2565,6592,"cellular component organization","BP"
"2220","GO:0009056",9.13080367721481e-13,1,1111,2717,"catabolic process","BP"
"1791","GO:0006914",1.0909753935634e-12,1,300,610,"autophagy","BP"
"9462","GO:0061919",1.0909753935634e-12,1,300,610,"process utilizing autophagic mechanism","BP"
"671","GO:0002449",1.10010018348455e-12,1,184,372,"lymphocyte mediated immunity","BP"
"8304","GO:0051603",1.31084075415294e-12,1,411,889,"proteolysis involved in protein catabolic process","BP"
"7691","GO:0048584",2.19902563491658e-12,1,996,2407,"positive regulation of response to stimulus","BP"
"802","GO:0002682",3.34777351827093e-12,1,703,1665,"regulation of immune system process","BP"
"12666","GO:1902531",3.49818845663243e-12,1,866,2030,"regulation of intracellular signal transduction","BP"
"7659","GO:0048519",4.50980269669618e-12,1,2119,5412,"negative regulation of biological process","BP"
