"","category","over_represented_pvalue","under_represented_pvalue","numDEInCat","numInCat"
"146","04621",1.40949572464432e-05,0.99999578657386,36,58
"119","04141",5.09066879929493e-05,0.999973886645272,83,165
"153","04662",0.000126514975683504,0.999950456546644,44,75
"96","03040",0.00146148069116307,0.999205392382801,59,127
"105","04010",0.00218148021888974,0.998547508454577,121,268
"196","05140",0.00227473510095321,0.998956032925668,37,71
"216","05221",0.00282656731369285,0.998794430453974,32,57
"130","04330",0.00317261965659726,0.998763611545255,27,46
"115","04120",0.00328288318729247,0.998095245452673,66,135
"135","04380",0.00341584112976091,0.998049434803553,61,127
"222","05323",0.00421806532302443,0.997801627863801,43,91
"42","00511",0.00568083780099427,0.998825707046879,11,16
"120","04142",0.00855632507703332,0.994928182687722,56,120
"152","04660",0.00872933950784142,0.994955586040297,52,108
"204","05200",0.0101931763889251,0.992559562281806,141,326
"197","05142",0.0114492242972411,0.993339907749338,49,104
"193","05120",0.0117478710169474,0.993976071838654,34,68
"205","05210",0.0157007717175581,0.99198410007024,32,62
"199","05144",0.0162346200461383,0.992292721930568,25,51
"145","04620",0.019310694874443,0.988428764584989,46,102
"208","05213",0.0253579442829562,0.987233488796811,27,52
"110","04070",0.0257124589420257,0.985253043671788,39,78
"121","04144",0.0260131552872397,0.98162747825364,89,201
"214","05219",0.0265562619180845,0.987603924057878,22,42
"109","04062",0.0282187971238868,0.980268466248906,79,188
"215","05220",0.034082170248702,0.980329821886362,36,73
"139","04520",0.0350029132314628,0.979746906241218,36,73
"134","04370",0.0361163599250324,0.978850414190865,36,76
"125","04210",0.0380128716650551,0.976857198444965,40,87
"41","00510",0.0412255067850901,0.978589126588835,24,49
"207","05212",0.0424598630547077,0.975276646479294,34,70
"114","04115",0.0456526009146664,0.973554877001579,31,68
"97","03050",0.0460350609289965,0.976995834424939,19,44
"200","05145",0.0467260681043204,0.968330856677203,57,132
"218","05223",0.0468504190113801,0.974452491392333,27,54
