"","SRR4785988.sorted.bam","SRR4785986.sorted.bam","SRR4785980.sorted.bam","SRR4785979.sorted.bam","SRR4785831.sorted.bam","SRR4785828.sorted.bam","SRR4785820.sorted.bam","SRR4785819.sorted.bam"
"DDX11L1",3,1,1,0,0,0,0,1
"WASH7P",479,292,378,87,22,49,101,832
"MIR6859-1",0,0,0,0,0,0,0,0
"MIR1302-2HG",0,0,0,0,0,0,0,0
"MIR1302-2",0,0,0,0,0,0,0,0
"FAM138A",0,0,0,0,0,0,0,0
"OR4G4P",0,0,0,0,0,0,0,0
"OR4G11P",0,0,1,0,0,0,0,0
"OR4F5",6,0,0,0,0,0,0,0
"LOC124903816",52,48,87,12,0,0,0,33
"LOC124900384",356,155,193,109,0,8,23,125
"SEPTIN14P18",0,0,0,0,0,0,0,0
"CICP27",0,0,0,0,0,0,0,0
"LOC729737",0,0,0,0,0,0,0,0
"RNU6-1100P",0,0,0,0,0,0,0,0
"GTF2IP10",0,0,0,0,0,0,0,0
"LOC124903814",0,0,0,0,0,0,0,0
"DDX11L17",12,3,5,0,0,0,0,2
"WASH9P",202,140,239,45,0,15,1,200
"MIR6859-2",0,0,0,0,0,0,0,0
"RPL23AP21",0,0,0,0,0,0,0,1
"LOC127239154",175,201,254,22,8,3,24,147
"LOC124903815",0,0,0,0,0,0,0,0
"RPL23AP24",0,0,0,0,0,0,0,0
"LOC124900618",0,1,0,0,0,0,0,3
"LOC112268260",7,0,6,2,0,1,17,5
"WBP1LP7",0,0,3,0,0,0,0,0
"OR4F29",0,0,0,2,0,0,0,0
"SEPTIN14P13",0,0,0,0,0,0,0,0
"CICP7",0,1,0,1,0,0,0,4
"LOC100132287",27,22,28,24,10,30,1,61
"LOC124904706",5,1,16,0,0,0,0,0
"LOC105378947",14,2,8,2,0,0,0,6
"LOC101928626",0,0,0,0,0,0,0,0
"MTND1P23",1,0,0,0,2,2,2,1
"MTND2P28",155,8,8,6,0,0,1,0
"MTCO1P12",0,1,0,32,0,0,0,0
"MIR12136",0,0,0,0,0,0,0,0
"MTCO2P12",0,0,0,7,0,0,0,0
"MTATP8P1",0,0,0,0,0,0,0,0
"MTATP6P1",0,0,0,156,0,0,0,0
"MTCO3P12",0,0,0,0,0,0,0,0
"WBP1LP6",0,0,0,1,0,0,0,0
"OR4F16",21,11,9,12,0,2,0,10
"SEPTIN14P14",0,0,0,0,0,0,0,0
"CICP3",2,0,0,6,0,0,0,1
"LOC100288069",31,21,35,264,222,243,24,30
"RNU6-1199P",0,0,0,0,0,0,0,0
"LINC01409",0,0,0,357,0,0,0,0
"LOC124903817",0,0,0,0,0,0,0,0
"FAM87B",0,0,0,0,0,0,0,0
"LINC00115",0,0,0,0,0,0,0,0
"LINC01128",0,0,0,0,0,0,0,0
"LOC107984850",0,0,0,0,0,0,0,0
"FAM41C",0,0,0,0,0,0,0,0
"TUBB8P11",0,0,0,0,0,0,0,0
"LOC284600",0,0,0,0,0,0,0,0
"LINC02593",0,0,0,0,0,0,0,0
"LOC107985728",0,0,0,0,0,0,0,0
"SAMD11",0,0,0,0,0,0,0,0
"NOC2L",0,0,0,0,0,0,0,0
"KLHL17",0,0,0,0,0,0,0,0
"PLEKHN1",0,0,0,0,0,0,0,0
"PERM1",0,0,0,0,0,0,0,0
"HES4",0,0,0,0,0,0,0,0
"RPL39P12",0,0,0,0,0,0,0,0
"ISG15",0,0,0,0,0,0,0,0
"AGRN",0,0,0,0,0,0,0,0
"LOC100288175",0,0,0,0,0,0,0,0
"LOC105378948",0,0,0,0,0,0,0,0
"RNF223",0,0,0,0,0,0,0,0
"C1orf159",0,0,0,0,0,0,0,0
"LOC124903819",0,0,0,0,0,0,0,0
"LOC124903820",0,0,0,0,0,0,0,0
"LINC01342",0,0,0,0,0,0,0,0
"MIR200BHG",0,0,0,0,0,0,0,0
"MIR200B",0,0,0,0,0,0,0,0
"MIR200A",0,0,0,0,0,0,0,0
"MIR429",0,0,0,0,0,0,0,0
"TTLL10-AS1",0,0,0,0,0,0,0,0
"TTLL10",0,0,0,0,0,0,0,0
"TNFRSF18",0,0,0,0,0,0,0,0
"TNFRSF4",0,0,0,0,0,0,0,0
"SDF4",0,0,0,0,0,0,0,0
"B3GALT6",0,0,0,0,0,0,0,0
